B02,B03,B04,B08,B11,B12,NDVI,NDWI,BSI,cloud_cover,manganese_label,elevation_m,slope_deg,terrain_relief_m
0.1679,0.1972,0.2142,0.3737,0.4456,0.3427,0.271305,-0.309161,0.098385,0.0,0,383.666473,2.111309,14.653412
0.211,0.2563,0.3108,0.4223,0.507,0.4372,0.152094,-0.244621,0.127145,0.0,0,316.200195,1.431767,10.103668
0.1705,0.1973,0.2368,0.3778,0.5116,0.3983,0.229418,-0.313858,0.154315,0.0,0,321.637543,1.031155,11.891998
0.175,0.2121,0.2555,0.3654,0.5249,0.4223,0.177001,-0.265455,0.181708,0.0,0,443.866302,3.422551,45.561523
0.1414,0.1672,0.1954,0.3147,0.3574,0.2632,0.233876,-0.30608,0.095847,0.0,0,583.232544,8.767118,81.588989
0.1262,0.1402,0.125,0.1112,0.1316,0.1296,-0.058425,0.115354,0.038866,0.0,0,485.5,0.0,52.250366
0.1435,0.1739,0.1786,0.3583,0.4172,0.3194,0.334699,-0.346486,0.085641,0.0,0,360.928802,1.870279,25.592682
0.2019,0.234,0.2709,0.4096,0.4904,0.4085,0.203821,-0.27284,0.10912,0.0,1,313.838898,4.580351,21.39743
0.1782,0.2061,0.2389,0.3244,0.3962,0.3204,0.151784,-0.222997,0.116463,0.0,1,308.14267,6.126858,11.865662
0.2525,0.3057,0.3695,0.4625,0.5721,0.4978,0.111779,-0.204114,0.136786,0.0,1,309.745392,1.142892,28.337433
0.1534,0.1785,0.2196,0.3461,0.4347,0.3114,0.223617,-0.319482,0.134165,0.0,0,585.99939,5.308083,29.457153
0.1735,0.205,0.2456,0.3293,0.4632,0.3821,0.145591,-0.232641,0.170023,0.0,0,281.076141,2.295603,8.290741
0.2173,0.2732,0.3092,0.4022,0.4556,0.3865,0.130728,-0.190998,0.104963,0.0,1,382.023163,21.525346,141.503143
0.1465,0.1779,0.2014,0.3637,0.436,0.3211,0.287206,-0.343058,0.11084,0.0,1,636.526306,3.204504,24.877014
0.1675,0.1961,0.2257,0.3656,0.4315,0.3538,0.236597,-0.301763,0.104259,0.0,0,271.596649,1.346257,9.729767
0.1888,0.2305,0.2848,0.3946,0.5122,0.4122,0.161613,-0.262518,0.154738,0.0,0,304.021301,1.567482,16.111053
0.132,0.1604,0.1565,0.3286,0.3055,0.2133,0.354772,-0.343967,0.001517,0.0,0,583.156799,14.946467,97.807617
0.1605,0.1881,0.2119,0.2555,0.3649,0.3451,0.093282,-0.151939,0.161966,0.0,0,275.476654,0.867117,10.431732
0.1504,0.1745,0.1867,0.3473,0.3875,0.289,0.300749,-0.331161,0.071369,0.0,0,378.878754,2.754336,52.110992
0.187,0.2328,0.279,0.344,0.4133,0.3532,0.104334,-0.192788,0.131856,0.0,0,292.287079,1.420751,9.538574
0.1445,0.1902,0.1658,0.4063,0.3093,0.2271,0.420381,-0.36228,-0.073789,0.0,1,306.550598,1.621539,17.134796
0.1426,0.1656,0.1656,0.2945,0.3194,0.2341,0.280156,-0.280156,0.051947,0.0,0,316.606415,6.372628,20.295868
0.1631,0.197,0.1993,0.3791,0.403,0.3267,0.310858,-0.316091,0.052512,0.0,0,336.839325,3.087635,10.131348
0.1872,0.1988,0.2357,0.2727,0.402,0.3791,0.072777,-0.156734,0.16199,0.0,0,281.894836,1.277599,9.331604
0.1352,0.1804,0.1531,0.4604,0.3075,0.2238,0.500896,-0.436954,-0.127817,0.0,0,262.965912,2.011537,16.528534
0.151,0.1758,0.2234,0.3384,0.4015,0.2903,0.204699,-0.316219,0.121601,0.0,0,614.339661,6.282296,71.13501
0.1523,0.1888,0.1984,0.4096,0.4231,0.3118,0.347368,-0.368984,0.050363,0.0,0,434.49118,4.610726,58.789825
0.165,0.1897,0.2246,0.3783,0.3837,0.2915,0.254934,-0.332042,0.056443,0.0,0,341.714142,0.946889,8.860565
0.1611,0.1992,0.208,0.4364,0.4238,0.34,0.354438,-0.373191,0.027902,0.0,0,372.97348,1.821542,22.13678
0.1606,0.1931,0.2134,0.3683,0.4586,0.3388,0.266288,-0.312077,0.119161,0.0,0,610.948242,2.939999,24.599976
0.1722,0.2177,0.2559,0.4018,0.4078,0.3162,0.221834,-0.297175,0.072473,0.0,1,618.243958,1.779129,16.324951
0.147,0.1735,0.1869,0.3161,0.3258,0.2568,0.256859,-0.291258,0.05083,0.0,1,621.768127,11.96664,38.193542
0.1633,0.1916,0.1942,0.3575,0.3428,0.2648,0.295994,-0.302131,0.015315,0.0,0,261.479431,1.097702,9.708344
0.1337,0.1725,0.2285,0.3289,0.4397,0.3229,0.180122,-0.311927,0.181818,7e-06,0,442.00174,2.117861,60.202118
